39,5,1,3,12691,777,11914,1.335,1144,42,1.625,45
44,6,1,2,8256,864,7392,1.541,1291,33,3.714,49
36,4,1,0,3418,0,3418,2.594,1887,20,2.333,51
34,3,4,1,3313,2517,796,1.405,1171,20,2.333,40
21,5,1,0,4716,0,4716,2.175,816,28,2.5,40
36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,44
46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,51
27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,32
36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,37
36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,48
31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,42
54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,65
36,3,6,0,11751,0,11751,3.397,1539,17,3.25,56
30,5,1,3,8547,1666,6881,1.163,1311,33,2,35
48,5,2,2,2436,680,1756,1.19,1570,29,0.611,57
37,5,1,2,4234,972,3262,1.707,1348,27,1.7,44
36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,48
34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,41
56,2,2,3,3193,2517,676,1.831,1336,30,1.143,61
37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,45
42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,47
49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,62
33,4,2,1,4470,680,3790,1.608,931,18,1.571,41
36,3,3,2,2492,1560,932,0.573,1126,23,0.353,47
42,4,2,3,12217,0,12217,1.075,1110,21,0.75,54
28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,41
46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,59
56,3,3,2,10215,1010,9205,0.843,1904,40,1,63
34,5,2,2,10100,0,10100,0.525,1052,18,1.571,44
42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,47
33,3,2,3,2753,1811,942,0.977,1038,25,2.571,53
48,2,5,1,2451,1690,761,1.323,1596,26,1.6,53
36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,41
38,5,2,3,2650,1490,1160,1.75,1411,28,1,53
49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,58
36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,55
36,6,2,3,3035,2298,737,1.724,1877,37,1.176,55
