39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,9.34E-05,0.99991
44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105,5.69E-05,0.99994
36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,2.11E-05,0.99998
34,3,4,1,3313,2517,796,1.405,1171,20,2.333,0.76,0.00013366,0.99987
21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,2.17E-05,0.99998
36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,5.51E-05,0.99994
46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,0.00012303,0.99988
27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048,8.58E-05,0.99991
36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113,4.48E-05,0.99996
36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144,0.00030251,0.9997
31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217,0.00019094,0.99981
54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,0.00019751,0.9998
36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,4.78E-05,0.99995
30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195,9.61E-05,0.9999
48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,0.00011382,0.99989
37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23,6.35E-05,0.99994
36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,0.00023623,0.99976
34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,0.00014953,0.99985
56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,0.00017468,0.99983
37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,5.51E-05,0.99994
42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,5.70E-05,0.99994
49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,0.99616,0.0038363
33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,6.92E-05,0.99993
36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,0.00020735,0.99979
42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,0.00021042,0.99979
28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,5.72E-05,0.99994
46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093,5.03E-05,0.99995
